id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
187,Community Security Bank,New Prague,Minnesota,1279843200000,20100723,Roundbank,108,283,1357420806903,1357421104587,1,-93.57743,44.54421,"{""type"":""Point"",""coordinates"":[-93.57743,44.54421]}"
188,Shoreline Bank,Shoreline,Washington,1285891200000,20101001,GBC International Bank,104,285,1357420806903,1357421106054,1,-122.34463,47.75703,"{""type"":""Point"",""coordinates"":[-122.34463,47.75703]}"
189,Granite Community Bank,Granite Bay,California,1275004800000,20100528,Tri Counties Bank,103,286,1357420806903,1357421106836,1,-121.17061,38.74078,"{""type"":""Point"",""coordinates"":[-121.17061,38.74078]}"
190,Western Commercial Bank,Woodland Hills,California,1288915200000,20101105,First California Bank,99,287,1357420806903,1357421107583,1,-118.61092,34.1688,"{""type"":""Point"",""coordinates"":[-118.61092,34.1688]}"
191,Southwest Community Bank,Springfield,Missouri,1273795200000,20100514,Simmons First National Bank,97,289,1357420806903,1357421109299,1,-93.29156,37.20897,"{""type"":""Point"",""coordinates"":[-93.29156,37.20897]}"
192,Mainstreet Savings Bank,Hastings,Michigan,1279238400000,20100716,Commercial Bank,97,290,1357420806903,1357421110149,1,-85.29065,42.64919,"{""type"":""Point"",""coordinates"":[-85.29065,42.64919]}"
193,AmericanFirst Bank,Clermont,Florida,1271376000000,20100416,"TD Bank, N.A.",91,292,1357420806903,1357421111457,1,-81.76634,28.55129,"{""type"":""Point"",""coordinates"":[-81.76634,28.55129]}"
194,Key West Bank,Key West,Florida,1269561600000,20100326,Centennial Bank,88,293,1357420806903,1357421112513,1,-81.80037,24.55444,"{""type"":""Point"",""coordinates"":[-81.80037,24.55444]}"
195,ISN Bank,Cherry Hill,New Jersey,1284681600000,20100917,Customers Bank,82,294,1357420806903,1357421113450,1,-75.03055,39.9275,"{""type"":""Point"",""coordinates"":[-75.03055,39.9275]}"
196,First Bank of Jacksonville,Jacksonville,Florida,1287705600000,20101022,Ameris Bank,81,296,1357420806903,1357421115586,1,-81.65622,30.33147,"{""type"":""Point"",""coordinates"":[-81.65622,30.33147]}"
197,Town Community Bank & Trust,Antioch,Illinois,1263513600000,20100115,First American Bank,70,298,1357420806903,1357421117276,1,-88.09638,42.47895,"{""type"":""Point"",""coordinates"":[-88.09638,42.47895]}"
198,American National Bank,Parma,Ohio,1268956800000,20100319,The National Bank and Trust Company,70,299,1357420806903,1357421118050,1,-81.73465,41.38419,"{""type"":""Point"",""coordinates"":[-81.73465,41.38419]}"
199,Community National Bank at Bartow,Bartow,Florida,1282262400000,20100820,CenterState Bank of Florida,68,300,1357420806903,1357421118793,1,-81.84154,27.89911,"{""type"":""Point"",""coordinates"":[-81.84154,27.89911]}"
